id_old,name,myspace_url,facebook_url,video_url,url,id_old_image,body,audio_sample_url,audio_sample_title,twitter,youtube1,youtube2
3860,@JamnJavaDoorGal's LOCAL SCENE: Flux 180,,http://www.facebook.com/pages/Flux180/158925394156494,http://www.youtube.com/user/IFLUXWIT180/videos,http://www.reverbnation.com/FLUX180,17944,"<p>During 2007 while working his blue-collar job at a storage facility, lyricist Carey ""Bamboo"" Boyd briefly saw a vision on a wall of himself on a galactic stage with a charismatic group of individuals whose focus was to create Futuristic Lyrics Unique to Xenoglossics. Motivated by the revelation, he then moved to pull together six of the DMVs acclaimed musicians to form FLUX180. With real life lyrics and exclusive musical composition, FLUX180 is a band with an eloquent resonance dedicated to saving and uplifting the people one lyric, one melody, one beat, and one song at a time.</p>
<p>&nbsp;</p>",,,https://twitter.com/FLUX180,,
3855,"From The Jayhawks, An  Evening with Gary Louris",,http://www.facebook.com/garylourismusic,,,17922,"<p>Over the last three decades, singer, songwriter and guitarist Gary Louris has built a deeply compelling body of music whose artistry and integrity has won the loyalty of an international audience and the respect of both critics and his peers. Best known for his seminal work with The Jayhawks, Louris is one of the most acclaimed musicians to come out of Minnesota's teaming rock scene.</p>
<p>Gary began his recording career with the fabled Minneapolis indie combo Safety Last before co-founding the Jayhawks with Mark Olson, who in their initial two- decade career rose from their indie roots to international prominence. Concurrent with his time in the Jayhawks, Louris was a charter member of the part-time alt-rock supergroup Golden Smog, which at various times also included members of Soul Asylum, Wilco, the Replacements and Big Star.</p>
<p>Along the way he also found time to lend his writing, performing and production talents to albums by acts as diverse as the Black Crowes, the Dixie Chicks, Counting Crows, Joe Henry, John Hiatt, Lucinda Williams, Roger McGuinn, Maria McKee, Nickel Creek, Carrie Rodriguez, Tift Merritt, the Sadies, and the Wallflowers.</p>
<p>Most recently, following his first-ever solo album (Vagabonds in 2008) and a duo album with his former Jayhawks partner Olson (2009's Ready For The Flood), the two reconvened the classic Jayhawks lineup for a new record and tour. The resulting album, Mockingbird Time, marked a well-received return to the group's trademark blend of dustblown harmonies and pop sensibility, and they relished the opportunity to introduce their timeless catalog to new audiences around the world.</p>
<p>Now embarking on his first solo endeavors since reassembling the band, Gary looks forward to showcasing songs spanning his entire 30-year career in select venues this fall.</p>",,,https://twitter.com/GaryLourisMusic,,
3854,Rosi Golan,,http://www.facebook.com/rosigolan, http://www.youtube.com/user/RosiGolan,http://rosigolan.com/,17919,"<p>Rosi Golan is an Israeli born singer songwriter who has made many stops in her travels, including Germany, Paris, and finally ending up in Los Angeles at the age of nine, where she grew up. During her travels, she not only managed to hone her infectiously melodic songwriting, but also learned to speak three languages fluently: French, Hebrew and English.</p>
<p>Rosi is indeed a long way from home, but certainly in the right place to showcase her unique talent for rich, dark melodies and a voice that not only draws you in, but still haunts you the next day. While living in LA, Rosi was inundated with creative lessons from violin, to voice, to acting. At 19, she decided to focus on singing and picked up her first guitar, teaching herself to play and write songs. Six weeks later, she was performing at her first open mic. Since then, Rosi has played the Acoustic Playhouse, Molly Malones, The Whiskey and Genghis Cohen in LA and The Bitter End, The Living Room, Rockwood Music Hall and CBs Gallery in NYC.</p>
<p>In the past few years, Rosi has worked with a number of acclaimed writers and producers from all over the world, including Jeff Cohen, Boots, Richard Cuason, Nate Campany, Tim Gordine, Richard Lobb, Pete Gordeno, Marc Swersky, Robert Conley, etc. But its her continuing collaboration with singer/songwriter Jamie Hartman (Ben's Brother) that has yielded numerous songs, including the single ""Let Me Out"", from Ben's Brother debut CD (Relentless/EMI/Virgin). The song was recently featured on an episode of ""Grey's Anatomy"".</p>
<p>Rosi was mentioned in Billboard Magazine. She was the winner of the first ASCAP Robert Allen Award for songwriting excellence, for which she performed at Lincoln Center. Finally settled in New York, Rosi has already kick-started the momentum that launches careers.</p>",http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Frosi-golan%252Fid275025650%253Fuo%253D4%2526partnerId%253D30,,http://twitter.com/#!/rosigolan,,
3850,Jammin' Java's FREE Election Night Party!,,,,http://jamminjava.com/home/lobbybar,17886,"<p>We'll have the big screen set up with election coverage pumping through the JJ sound system. Dinner will be served. Drink specials for everyone who can prove that they voted.</p>
<p>We expect a packed house of politically-minded people ready to get it on! Come watch the returns on the big screen! Chill, eat, drink...and argue!</p>
<p>&nbsp;</p>",,,,,
3849,Seth Walker,,http://www.facebook.com/sethwalkermusic,http://www.youtube.com/sethwalker1,http://sethwalker.com/3.0/,0,"<p>The driving delivery and infectious down-home style of Seth Walker's voice and songs resonate with Blues and Roots music. Although he is heavily influenced by guitar players--B.B. King, T-Bone Walker and Snooks Eaglin to name just a few, Seth also has a great gift for songwriting in the blues idiom. ""These songs sound like classics-- matter of fact, they are!"" says Chris Tomlin, Gold Record recording artist. Growing up in rural North Carolina surrounded by a musical, artistic family has lent itself to Seth's natural ability to entertain audiences with his music and the ease with which he performs. W.C. Clark, considered The Godfather of Austin's blues scene, is featured on Seth's second album Meet Me in the Middle and believes the music is in his blood. ""Seth is from a long line of great players and singers. He's rich with soul, a tasteful player and a warrior in the field.""</p>
<p>Seth has honed his skills for the last ten years in Austin, TX, playing among the best blues musicians in the world. Having shared the stage with icons such as Ray Charles, B.B. King and Jimmie Vaughan, Walker has established himself in the music world as a unique and compelling performer. His eclectic blend of outstanding guitar talent and rootsy, soul filled vocals will thrill any music fan.Seth impressed Taj Mahal when he opened up for the blues legend in 2005. ""He's playing some hip music, with changes and soul,"" he commented. ""A little, white Ray Charles!""</p>
<p>&nbsp;</p>",http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Fseth-walker%252Fid122558388%253Fuo%253D4%2526partnerId%253D30,,http://twitter.com/sethwalkermusic,,
3847,Gary Louris,,http://www.facebook.com/garylourismusic,,http://www.garylourismusic.com/,0,"<p>Over the last three decades, singer, songwriter and guitarist Gary Louris has built a deeply compelling body of music whose artistry and integrity has won the loyalty of an international audience and the respect of both critics and his peers. Best known for his seminal work with The Jayhawks, Louris is one of the most acclaimed musicians to come out of Minnesota's teaming rock scene.</p>
<p>Gary began his recording career with the fabled Minneapolis indie combo Safety Last before co-founding the Jayhawks with Mark Olson, who in their initial two- decade career rose from their indie roots to international prominence. Concurrent with his time in the Jayhawks, Louris was a charter member of the part-time alt-rock supergroup Golden Smog, which at various times also included members of Soul Asylum, Wilco, the Replacements and Big Star.</p>
<p>Along the way he also found time to lend his writing, performing and production talents to albums by acts as diverse as the Black Crowes, the Dixie Chicks, Counting Crows, Joe Henry, John Hiatt, Lucinda Williams, Roger McGuinn, Maria McKee, Nickel Creek, Carrie Rodriguez, Tift Merritt, the Sadies, and the Wallflowers.</p>
<p>Most recently, following his first-ever solo album (Vagabonds in 2008) and a duo album with his former Jayhawks partner Olson (2009's Ready For The Flood), the two reconvened the classic Jayhawks lineup for a new record and tour. The resulting album, Mockingbird Time, marked a well-received return to the group's trademark blend of dustblown harmonies and pop sensibility, and they relished the opportunity to introduce their timeless catalog to new audiences around the world.</p>
<p>Now embarking on his first solo endeavors since reassembling the band, Gary looks forward to showcasing songs spanning his entire 30-year career in select venues this fall.</p>
<p>&nbsp;</p>",,,,,
3845,Drivin' N' Cryin',,http://www.facebook.com/drivinncryin,http://www.youtube.com/drivinncryinATL,http://www.drivinncryin.com/,17875,"<p>""Crunching hard rock is the driving part, brittle countryish balladry the cryin, with the two linked by a heavy dose of Led Zeppelinphilia. If Paul Westerberg had grown up worshiping Angus Young instead of Alex Chiton, the Replacements might have sounded something like this Atlant band."" - Rolling Stone Magazine</p>
<p><br />The band was formed in 1985 in Atlanta. Kevn Kinney hooked up with Tim Nielsen, who was in a popular band called the Nightporters with drummer Paul Lenz at the time. The band's name, Drivin' 'N' Cryin', was chosen from one of Kevn's many songs that reflected the two directions of their music.</p>
<p>Various musicians accompanied the threesome in the early years. They signed with indie label 688 Records in 1986 after becoming one of Atlanta's top club draws. Their first album, Scarred But Smarter, was an instant hit and landed them countless tour dates and later a contract with Island Records. In 1987, Lenz left the band and was replaced by Jeff Sullivan, who was recruited just in time to accompany them for their first major-label release. Sullivan had been the drummer for Mr. Crowes Garden, the band that later became The Black Crowes, prior to joining Drivin' 'N' Cryin'. That same year, the band held its first ""Benefit For The Hopeful,"" a concert to raise money for Atlanta homeless organizations, held annually on Dec. 8, the anniversary of John Lennon's death. Other native Georgian group R.E.M's touring rhythm guitarist Buren Fowler joined the trio at this time as well. He was officially asked to join the band in 1988, after repeated on-stage appearances with the group.</p>
<p>The band released its first album for Island, Whisper Tames The Lion, produced by Anton Fier, in early 1988. The album peaked at No. 130 on the Billboard 200.College radio success (and some commercial) accumulated with airplay of the songs ""Can't Promise You The World"" (for which the band filmed its first video) and ""Powerhouse"".</p>
<p>1989 marked the release of some of the band's most memorable songs on the Mystery Road album, such as ""Honeysuckle Blue"" and ""Straight To Hell."" In 1991, the more hard-rocking Fly Me Courageous ended up being the band's most commercially successful album, with the album being certified gold. The next few years the band toured with artists such as Neil Young and Soul Asylum. In 1993, the band released another album produced by Geoff Workman, entitled Smoke, which peaked at No. 95 on the Billboard's Top 200 album chart. This album was another all-out rocker, marked with guitar assaults, but it failed to catch on with the public as had its predecessor.</p>
<p>Kevin Kinney has also maintained a solo career over the years. He released his first solo album, the acoustic MacDougal Blues in 1990. This was followed by Down Out Law in 1994, and The Flower And The Knife in 2000. The latter featured guests such as Blues Traveler's John Popper, Edwin McCain, and members of Gov't Mule and the Allman Brothers Band. He has released three more solo albums since. In addition to his solo recordings, he has frequently performed solo live concerts, including live collaborations with Peter Buck of R.E.M.</p>
<p>In 2012, Drivin' N' Cryin' signs a distribution deal with Redeye and begins the process of creating and recording material for 4 EPs to be released over a 12 month period.</p>",http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Fdrivin-n-cryin%252Fid348328%253Fuo%253D4%2526partnerId%253D30,,http://www.twitter.com/drivinncryin,"<iframe width=""300"" height=""225"" src=""http://www.youtube.com/embed/bIB1tROhIOY"" frameborder=""0"" allowfullscreen></iframe>","<iframe width=""300"" height=""225"" src=""http://www.youtube.com/embed/qwNX6qTa4pE"" frameborder=""0"" allowfullscreen></iframe>"
3842,@JamnJavaDoorGal's LOCAL SCENE: The Duskwhales,,http://www.facebook.com/TheDuskwhales,http://www.youtube.com/user/TheDuskwhales,http://theduskwhales.tumblr.com/,17837,"<p>The Duskwhales are a ""gypsy rock"" band from Northern Virginia made up of four hip kids who play good music and eat disgusting amounts of pizza. Over the years, The Duskwhales have performed at a variety of venues including Jammin Java, Jaxx Niteclub, Epicure Cafe, Caffe Amouri, as well as a variety of parties and school events. They are currently set to compete in the YouthFest Battle of the Bands finals on May 6 at the Brambleton Town Center in Ashburn, VA. They have released a demo CD entitled ""Terrify"" and have plans to professionally record their first full length album this summer in Pennsylvania. The Duskwhales' style is quite diverse and they are very interested in expanding their talent and getting their music out.</p>",,,https://twitter.com/#!/TheDuskwhales,,
3840,@JamnJavaDoorGal's LOCAL SCENE: Alex Culbreth & The Dead Country Stars,,,,http://alexculbreth.bandcamp.com/,17834,"<p>Alex Culbreth is a singer/songwriter from Fredericksburg, VA.  He has released nine albums and played in several bands in the last seven years.  His music has been compared to the likes of The Drive-By Truckers, Murder By Death, and The Civil Wars.  He has shared the stage with well-known country and folk acts such as Chris Knight, Spirit Family Reunion, Megan Jean and the KFB, and Jeffrey Lewis.  He has been featured on No Depression, Taproots Radio, Ninebullets Radio, and many notable americana music blogs and radio stations in America and Europe.  His new band Alex Culbreth &amp; The Dead Country Stars is a boot-stompin' alt-country band that is guaranteed to get some hips shaking and hearts breaking.</p>",,,,,
3837,Aaron Gillespie of The Almost,,http://www.facebook.com/AaronRGillespie,http://www.youtube.com/user/aarongillespie,http://aarongillespie.com/,17880,"<p>Aaron Gillespie was born in Clearwater, Florida. He grew up in a devout Christian family, attended private schools and went to church regularly. Aaron's parents divorced when he was 18 years old. At age 14, Aaron worked at the church and vacuumed. He enjoyed playing the drums at church, but was told he did not play well and that he played too loud. At only 14 years old, he received a call from Underoath asking him to play drums for them. After much prayer and consideration he stepped down as the drummer from Underoath in April of 2010. Aaron currently plays with his band The Almost that he started in 2007. Aaron married his wife Jamie in November of 2006. Aaron and Jamie currently live in Tarpon Springs, Florida. He recently achieved the HM Magazine's Readers Award for favorite drummer of 2008. Aaron's passion is his band, The Almost and his ministry to his youth group. Aaron has had opportunities throughout his career to travel all over the world and lead people to Christ. He is an amazing musician and an incredible speaker.</p>",http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&offerid=146261&type=3&subid=0&tmpid=1826&RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Faaron-gillespie%252Fid137848268%253Fuo%253D4%2526partnerId%253D30,,http://www.twitter.com/aaronrgillespie,"<iframe width=""300"" height=""225"" src=""http://www.youtube.com/embed/2Z0H3XE3dUY"" frameborder=""0"" allowfullscreen></iframe>",
