title,slug,starts_at,body,buytix_url_old,price_freeform,set_times,info
Willy Porter,willy-porter,4/20/13 23:30,,http://jamminjava.3dcartstores.com/product.asp?itemid=2195,$20 advance/$23 day of,"5:30 - The new Lobby Bar opens
6:30 - Doors
7:30 - Willy Porter","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5:30
<br/>• General admission seated
<br/>• First come, first seated
"
Richard Shindell,richard-shindell,2/24/13 23:00,<p><em><br /></em></p>,http://jamminjava.3dcartstores.com/product.asp?itemid=2176 ,$22 advance/$25 day of,"5pm - The new Lobby Bar opens
6pm - Doors
7pm - Richard Shindell","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5pm
<br/>• General admission seated
<br/>• First come, first seated
"
Seth Glier,seth-glier,1/25/13 0:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2185,$15 ,"6pm - The new Lobby Bar opens
7pm - Doors
8pm - Seth Glier","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 6pm
<br/>• General admission seated
<br/>• First come, first seated
After The Show - Lobby Bar stays open!
"
The Fred Eaglesmith Traveling Steam Show,fred-eaglesmith,1/23/13 0:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2196,$20 ,"6pm - The new Lobby Bar opens
7pm - Doors
8pm - The Fred Eaglesmith Traveling Steam Show","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 6pm
<br/>• General admission seated
<br/>• First come, first seated"
The Dinobabies,the-dinobabies,12/30/12 1:30,,http://jamminjava.3dcartstores.com/product.asp?itemid=2192,$10 advance/ $13 day of show,"9:00 - The new Lobby Bar opens
9:30 - Doors
9:30 - The Dinobabies","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 9pm
<br/>• General admission standing
<br/>• First come, first seated
"
The Deanna Bogart Band + Eric Scott,the-deanna-bogart-band-eric-scott,12/29/12 0:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2188,$22 ,"6pm - The new Lobby Bar opens
7pm - Doors
8pm - The Deanna Bogart Band + Eric Scott","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 6pm
<br/>• General admission seated
<br/>• First come, first seated
"
Good For The Jews: Putting The Ha! In Hanukkah Tour feat. Rob Tannenbaum + David Fagin,good-for-the-jews,12/24/12 23:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2173,$20 ,"5pm - The new Lobby Bar opens
6pm - Doors
7pm - Good For The Jews: 
Putting The Ha! In Hanukkah Tour
feat. Rob Tannenbaum + David Fagin","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5pm
<br/>• General admission seated
<br/>• First come, first seated
"
The Dangereous Summer,the-dangereous-summer,12/19/12 23:30,"<p><strong>YOUNG STATUES</strong><br />In the winter of 2010, a spontaneous trip to  Athens, GA became the birth of New Jersey/Philadelphia indie-rock outfit  Young Statues. The record first began to take shape at Chase Park  Transduction Studios, where a series of songs were recorded between  friends, songs that were initially never intended to be released.  Intrigued by the results of these sessions, songwriter and vocalist  Carmen Cirignano decided to continue working on them with longtime  producer and engineer Steve Poponi at the Gradwell House in Haddon  Heights, NJ. It was here, with the help of bassist Tom Ryan and drummer  Daniel Bogan, that these songs were transformed into the impressive  debut record for a band comprised of longtime friends in the  Philadelphia area music scene. Full of swelling guitars, intricate vocal  melodies and introspective lyrics, ""Young Statues"" is evidence of a  group of musicians who have honed their skills and made a record to be  revered for its beauty, tact, and honesty.<br /><span style=""color: #c0c0c0;""><a href=""http://youngstatues.tumblr.com/"" target=""_blank"">Official site</a> | <a href=""http://twitter.com/youngstatues"" target=""_blank"">Twitter</a> | <a href=""http://www.facebook.com/youngstatues"" target=""_blank"">Facebook</a> | <a href=""http://click.linksynergy.com/fs-bin/stat?id=*FknwilNy5I&amp;offerid=146261&amp;type=3&amp;subid=0&amp;tmpid=1826&amp;RD_PARM1=http%253A%252F%252Fitunes.apple.com%252Fus%252Fartist%252Fyoung-statues%252Fid478887808%253Fuo%253D4%2526partnerId%253D30"" target=""_blank"">Itunes</a> | <a href=""http://www.youtube.com/user/youngstatues"" target=""_blank"">Youtube</a></span></p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2198,$10 advance/$13 day of,"5:30 - The new Lobby Bar opens
6:30 - Doors
7:30 - The Dangerous Summer","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5:30
<br/>• General admission standing
<br/>• First come, first seated
"
Dan Bern,dan-bern,12/16/12 23:00,,http://jamminjava.3dcartstores.com/product.asp?itemid=2187,$18 ,"5pm - The new Lobby Bar opens
6pm - Doors
7pm - Dan Bern","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 5pm
<br/>• General admission seated
<br/>• First come, first seated
"
Since Antarctica,since-antarctica,12/15/12 2:00,"<p><br /><strong>DAUGHTER OF STARS</strong><br />Daughter of Stars' style echoes that of decades past where rock 'n roll was devoid of pretention and full of hopeful innocence. Thundering riffs are tempered with heartfelt songwriting and soaring harmonies fusing each song with a searing intensity. The band burst onto the DC scene in late 2011 when Billboard Award winning songwriter Nick Samuels, formerly of Numa, found an outlet for the raw rock sound he was envisioning in vocalist Devon, whose powerful bluesy wail has been compared to 70's rockers Ann Wilson and Janis Joplin. The quartet was rounded out by former One Third Dork drummer Jon Varga and bassist David Scherzinger who layed down the solid groove needed for the songs to take flight. Be sure to catch their next show and fall under the spell of the Daughter of Stars.<br /><span style=""color: #888888;""><a href=""http://www.reverbnation.com/daughterofstars"" target=""_blank"">Official site</a> | <a href=""http://www.facebook.com/daughterofstars"" target=""_blank"">Facebook</a> </span></p>
<p><strong>THE AUTOMATICS</strong><br />From Northern Virginia to a stage near you: Danny Oelkers, Alex Blough, Erik Schumacher, and Jill Miller are defining their lives with juicy tunes they can smile about. The Automatics bring Pop-Punk melodies to your ears that remind you of the fun in life and anyone can sing along to. It's time to let loose and bounce around with the one... the only... Automatics.<br /><a href=""http://www.facebook.com/TheAutomatics"" target=""_blank"">Facebook</a></p>
<p>&nbsp;</p>",http://jamminjava.3dcartstores.com/product.asp?itemid=2191,$10 advance/$13 day of,"9pm - The new Lobby Bar opens
10pm - Doors
10pm - Since Antarctica","• Full dinner and drink menu available
<br/>• All ages
<br/>• The Lobby Bar opens at 9pm
<br/>• General admission standing
<br/>• First come, first seated
"
