title,body,artist_id_old,price_freeform,set_times,starts_at
The Smithsonian presents Billy Jonas,,17601,$10 ,"10:00 - Doors
10:30 - Billy Jonas",3/2/13 14:30
The Diggity Dudes CD Release,,17657,$10 for everyone one year and older,"10:00 - Doors
10:30 - The Diggity Dudes",12/1/12 14:30
"Ellis Paul ""Dragonfly Races""",,16377,$10 for everyone over one year old,"10:00 -  Doors
10:30 - Ellis Paul",11/17/12 14:30
Gustafer Yellowgold,,16781,$10 for everyone one year and older,"10:00 - Doors
10:30 - Gustafer Yellowgold",11/10/12 14:30
SteveSongs,,15788,$15 for everyone one year & older ,"2:00 - Doors
2:30 - SteveSongs",11/3/12 18:30
SteveSongs,,15787,$15 for everyone one year & older ,"12:00 - Doors
12:30 - SteveSongs",11/3/12 16:30
SteveSongs,,15786,$15 for everyone one year & older,"10:00 - Doors
10:30 - SteveSongs",11/3/12 14:30
Alastair Moock's Slightly Scary Spectacular,,16371,$10 for everyone over one year old ,"10:00 - Doors
10:30 - Show",10/27/12 14:30
Recess Monkey,,15353,$12 for everyone one year & older,"1:30 - Doors
2:00 - Recess Monkey",10/21/12 18:00
Recess Monkey,,15351,$12 for everyone one year & older,"10:30 - Doors
11:00 - Recess Monkey",10/21/12 15:00
Randy Kaplan,,17791,$10 ,"10:00 - Doors
10:30 - Randy Kaplan",10/6/12 14:30
The Smithsonian presents Mista Cookie Jar & The Chocolate Chips,,17341,$10 for everyone one year and older,"10:00 - Doors
10:30 - Mista Cookie Jar & The Chocolate Chips ",9/29/12 14:30
Rocknoceros Happy Family Hour,,16890,$10 for everyone one year and older ,"5pm - The new Lobby Bar opens
6pm - Doors
7pm - Rocknoceros",9/21/12 23:00
The Great Zucchini,,16187,$8 for everyone over one year old,"10:00 - Doors
10:30 - The Great Zucchini",9/15/12 14:30
Secret Agent 23 Skidoo,,15637,$10 for everyone one year and older,"12:00 - Doors
12:30 - Secret Agent 23 Skiddo",8/4/12 16:30
Secret Agent 23 Skidoo,,15636,$10 for everyone one year and older,"10:00 -  Doors
10:30 -  Secret Agent 23 Skiddo",8/4/12 14:30
Billy Kelly & the Blahblahblahs,,16402,$8 for everyone over one year old,"10:00 - Doors
10:30 - Billy Kelly & the Blahblahblahs ",7/28/12 14:30
